pan max
pan_gene_12548 7
pan_gene_12557 2
pan_gene_12558 3
pan_gene_12561 2
pan_gene_12565 2
pan_gene_12566 3
pan_gene_12567 2
pan_gene_12570 2
pan_gene_12576 2
pan_gene_12577 3
pan_gene_12584 4
pan_gene_12594 2
pan_gene_12595 2
pan_gene_12598 2
pan_gene_12613 2
pan_gene_12614 2
pan_gene_12615 2
pan_gene_12617 3
pan_gene_12618 2
pan_gene_12627 2
pan_gene_12630 2
pan_gene_12632 2
pan_gene_12633 2
pan_gene_12642 2
pan_gene_1265 2
pan_gene_12660 2
pan_gene_12661 2
pan_gene_12670 2
pan_gene_12676 2
pan_gene_12677 2
pan_gene_1268 2
pan_gene_12680 3
pan_gene_12682 2
pan_gene_12684 2
pan_gene_12691 4
pan_gene_127 4
pan_gene_12727 2
pan_gene_12728 2
pan_gene_12738 6
pan_gene_12742 2
pan_gene_12752 2
pan_gene_12757 2
pan_gene_12759 2
pan_gene_1276 3
pan_gene_12770 2
pan_gene_12774 2
pan_gene_12776 2
pan_gene_12777 2
pan_gene_1278 2
pan_gene_12780 2
pan_gene_12781 2
pan_gene_12786 2
pan_gene_12788 2
pan_gene_1279 5
pan_gene_12793 2
pan_gene_12799 2
pan_gene_12800 2
pan_gene_12804 2
pan_gene_12806 3
pan_gene_12809 2
pan_gene_12812 2
pan_gene_12814 2
pan_gene_12823 3
pan_gene_12828 2
pan_gene_12829 2
pan_gene_12832 3
pan_gene_12835 3
pan_gene_12838 2
pan_gene_12842 2
pan_gene_12846 2
pan_gene_12858 2
pan_gene_12890 2
pan_gene_12902 2
pan_gene_12904 2
pan_gene_12913 2
pan_gene_12915 2
pan_gene_12920 2
pan_gene_12925 2
pan_gene_12931 2
pan_gene_12941 3
pan_gene_12947 2
pan_gene_12949 2
pan_gene_12952 3
pan_gene_12953 2
pan_gene_12955 4
pan_gene_12961 2
pan_gene_12969 3
pan_gene_1297 2
pan_gene_12976 2
pan_gene_12982 2
pan_gene_12990 2
pan_gene_12993 2
pan_gene_12998 2
pan_gene_130 2
pan_gene_13003 2
pan_gene_13004 2
pan_gene_13005 3
pan_gene_13006 2
pan_gene_13008 2
pan_gene_1301 2
pan_gene_13021 5
pan_gene_13024 2
pan_gene_13035 2
pan_gene_1304 2
pan_gene_13040 2
pan_gene_13052 2
pan_gene_13059 2
pan_gene_1306 2
pan_gene_1307 2
pan_gene_13071 2
pan_gene_13078 2
pan_gene_13079 2
pan_gene_1308 2
pan_gene_13081 2
pan_gene_13084 2
pan_gene_13086 2
pan_gene_13087 2
pan_gene_13091 2
pan_gene_13093 2
pan_gene_13095 2
pan_gene_1310 2
pan_gene_13101 3
pan_gene_13103 3
pan_gene_13113 2
pan_gene_13131 2
pan_gene_13133 2
pan_gene_13136 2
pan_gene_13137 2
pan_gene_13140 2
pan_gene_13142 5
pan_gene_13144 2
pan_gene_13147 2
pan_gene_1315 2
pan_gene_13154 2
pan_gene_13166 2
pan_gene_1317 2
pan_gene_13172 2
pan_gene_13174 2
pan_gene_13175 2
pan_gene_13177 2
pan_gene_13179 2
pan_gene_13186 2
pan_gene_13208 2
pan_gene_13213 2
pan_gene_13217 11
pan_gene_13218 4
pan_gene_13219 3
pan_gene_13221 2
pan_gene_13225 2
pan_gene_13227 3
pan_gene_13228 2
pan_gene_13231 2
pan_gene_13234 4
pan_gene_13235 2
pan_gene_13242 2
pan_gene_13245 3
pan_gene_13247 2
pan_gene_13256 2
pan_gene_13257 2
pan_gene_1326 2
pan_gene_13260 2
pan_gene_1327 3
pan_gene_13286 2
pan_gene_13299 3
pan_gene_133 2
pan_gene_13303 2
pan_gene_13305 3
pan_gene_13310 2
pan_gene_13325 2
pan_gene_13327 2
pan_gene_13333 3
pan_gene_13340 2
pan_gene_13342 2
pan_gene_13350 2
