pan,B73,B97,CML103,CML322,CML69,HP301,Il14H,Ki11,Ki3,Ky21,M37W,Mo18W,Ms71,NC350,NC358,Oh43,Oh7B,P39,Tx303,Tzi8
pan_gene_19127,7.96805,10.3578,11.3934,6.87965,8.80872,13.0197,NA,11.8812,9.59695,5.70572,7.7961,NA,8.45441,10.6266,11.7051,9.4243,12.1091,7.39573,10.377,9.28731
pan_gene_19128,14.7337,17.9035,NA,13.0292,17.8037,NA,11.7643,18.939,13.4337,23.9915,17.1369,17.2935,22.0684,14,23.3727,15.8468,18.2529,NA,16.1577,18.3855
pan_gene_19129,NA,0.166811,0.240101,0.332993,0.380225,0,0.121434,0.219111,0,0.0911998,0.229731,0.029498,0.360898,0.0733739,0.0630607,0.35478,0.12947,0.169785,0.289734,0.233117
pan_gene_1913,13.939,13.4764,24.405,13.9346,20.786,21.3108,23.4244,18.4526,14.2993,13.109,11.2932,13.6444,12.9284,15.9148,18.9349,12.4076,16.7836,15.4299,19.3923,18.6736
pan_gene_19130,NA,1.99768,0.796868,0.37413,NA,0.318253,0.643218,1.32926,1.13491,0.251975,0.865669,0.726724,0.517653,0.672894,1.17462,0.400484,0.9419,0.632064,1.5639,0.779631
pan_gene_19131,26.7805,NA,29.6556,17.6828,NA,69.5279,NA,26.1071,15.7575,69.0357,NA,21.9555,NA,NA,21.44,43.9818,58.2178,NA,38.0068,54.6754
pan_gene_19132,79.4053,69.8333,88.5191,74.3222,73.5885,105.611,55.9484,89.1333,66.4503,80.6071,57.0687,87.4804,69.2855,89.1462,109.465,76.0135,85.1027,60.0116,94.0579,89.8085
pan_gene_19134,5.8579,11.7986,5.66714,10.09,11.098,4.90105,11.8569,5.43486,4.16749,15.6605,13.2761,6.50247,15.4941,NA,6.00086,8.39955,5.24015,9.69314,5.56878,11.8314
pan_gene_19135,14.6299,15.6849,8.31383,3.38252,14.816,6.49369,5.43861,17.4914,NA,15.33,5.95228,18.4188,15.1314,9.34443,9.39624,8.65499,8.47964,NA,18.6456,2.98884
pan_gene_19136,35.9336,35.3342,31.868,38.1073,42.9348,NA,27.9355,48.0841,35.1184,36.7331,36.6952,39.1424,30.8428,46.4244,33.586,33.5122,38.6378,26.7209,35.4282,52.1974
pan_gene_19137,3.02952,5.14655,5.0661,1.40705,2.56915,3.3709,2.63904,5.9241,1.4667,1.22328,3.53215,1.37628,NA,1.75714,3.96389,3.8129,5.04118,3.07257,2.13115,4.06639
pan_gene_19138,0.0705506,0,NA,NA,0.212326,0,NA,0.141362,0,NA,0.242213,NA,0.0167101,NA,0.816151,0.0252834,NA,0.107555,NA,NA
pan_gene_19139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_19140,12.1686,10.8451,14.2958,30.8526,7.24976,21.4792,24.3714,NA,10.5374,15.3247,19.2367,18.9366,48.1627,12.8246,20.3049,34.5663,9.38819,16.865,20.4215,7.1873
pan_gene_19141,NA,43.1907,56.7958,61.5457,72.8209,61.7169,63.4476,71.6482,60.1971,48.0975,50.9631,NA,48.0616,64.6537,62.5208,34.877,63.9771,40.4641,65.1256,69.8836
pan_gene_19142,1.76997,3.76177,0.521921,3.1223,1.26006,2.59747,1.24472,1.58118,1.3417,1.16297,2.43814,0.982489,1.70704,2.2625,0.556947,3.36052,4.56534,2.09396,2.22681,0.978889
pan_gene_19143,1.9242,4.32156,2.76982,1.9638,1.96203,1.73959,NA,1.8143,0.313113,1.45463,1.98784,NA,0.71566,0.79366,NA,1.66354,NA,3.67165,3.17915,1.01092
pan_gene_19145,62.383,55.6202,57.9776,62.1707,74.776,37.8934,102.971,87.05,94.0536,39.6698,89.8267,57.1644,70.3131,78.2865,61.8828,32.8145,51.4322,39.9232,61.0592,91.8575
pan_gene_19146,9.02503,25.2145,25.5571,15.6115,16.0776,21.4819,21.8459,18.4122,NA,20.454,17.3823,22.4609,18.4853,21.4094,NA,24.6305,NA,NA,18.0101,18.013
pan_gene_19148,15.1506,16.6343,9.92996,17.368,19.7163,11.247,22.9775,18.5669,31.2928,14.3731,15.8001,NA,23.8607,23.9439,18.5845,10.4344,18.2929,13.5474,32.6976,15.9601
