,B73,Tzi8,Ky21,Ms71,Oh7B,Oh43,M37W,Mo18W,NC350,HP301,Il14H,P39,CML69,Ki11,CML322,Ki3,CML103,Tx303,NC358,B97
pan_gene_154,6.53581,6.53581,6.71678,5.4947,6.88195,4.21144,1.30773,6.26315,5.11738,6.21935,3.3567,3.4342,3.98756,2.82456,5.1027,2.63974,4.96621,10.2272,3.03121,3.45097
pan_gene_155,NA,0.188208,0.223188,NA,NA,NA,0.653436,0.168287,1.34111,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
pan_gene_156,11.9009,NA,NA,10.4115,13.3819,NA,NA,13.1663,13.7068,10.8044,14.6198,NA,NA,14.0529,6.50914,7.26062,21.1415,5.37442,NA,16.6664
pan_gene_157,16.3269,16.3269,13.5795,20.5352,26.2578,16.9181,10.8674,17.6469,20.1904,13.0277,19.0481,12.5154,9.78616,10.2196,11.0112,11.2455,15.5876,21.6282,15.4378,17.6641
pan_gene_158,1.52394,1.52394,0.0926064,0.124938,NA,0,0,0,0.0919082,0.026847,0.156708,0,0,0.201982,0.0746197,0,0,2.37354,0.509385,0
pan_gene_159,NA,NA,NA,NA,0.0152817,0.0122611,NA,NA,0.0385939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_160,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA
pan_gene_162,NA,1.0553,NA,NA,2.61741,0.999031,NA,NA,NA,NA,NA,NA,0.685101,NA,NA,1.57956,NA,NA,NA,NA
pan_gene_163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_164,NA,94.3054,NA,111.247,100.468,112.432,103.029,100.175,NA,64.2303,NA,115.82,96.0801,100.723,79.1938,122.076,94.5834,122.356,75.1679,83.5387
pan_gene_165,NA,0.0365717,0,0.113519,0.0329292,0.0127825,0.0400434,0.144891,NA,0.139814,0,0,NA,0.0707145,0.0268722,0,0,0.131944,0,0
pan_gene_166,NA,0.286643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_168,NA,0.901454,5.46151,5.49584,9.47081,8.89578,2.19543,6.26028,3.89318,11.516,3.41109,12.6495,4.91146,6.46378,7.97162,7.79098,5.97798,3.77738,10.6841,3.10788
