,pan,B73,Tzi8,Ky21,M162W,Ms71,Oh7B,Oh43,M37W,Mo18W,NC350,HP301,Il14H,P39,CML52,CML69,Ki11,CML228,CML247,CML277,CML322,CML333,Ki3,CML103,Tx303,NC358,B97
25289,pan_gene_8209,0.1643,0.0063,0.2222,0.3061,0.281,0.2019,0.0023,0.1723,0.0049,0.2216,0.249,0.2001,0.32,0.3496,0.2365,0.2837,0.3664,0.2003,NA,0.2186,NA,0.309,0.2345,0.1258,0.2662,0.2151
25323,pan_gene_82314,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0.8409,NA,NA,0,NA,NA,0,NA
25520,pan_gene_8387,0.3519,0.1562,0.2446,0.3158,0.3237,0.2325,NA,NA,0.226,NA,0.3292,0.3722,NA,NA,0.3772,0.3625,0.3796,NA,NA,NA,0.2298,0.3629,0.2826,NA,0.4568,0.4691
25521,pan_gene_8389,0.0053,8e-04,0.0118,0.0012,0.0077,0.0149,0.01,0.0188,0.001,0.0137,0.0065,0.0032,0.0181,0.0046,0.0025,0.0358,0.0117,0.0017,0.003,0.004,0.0188,0.0338,0.0016,0.2513,0.0121,0.0071
25593,pan_gene_8433,7e-04,0.0021,0,0.0049,8e-04,0.011,0.0011,9e-04,0.0114,9e-04,0.004,0,0.0018,0.3131,0.0125,0.0336,0.0702,0.0776,0.094,0.0069,0.0025,0.0126,0.0321,0.0079,0.0088,0.0025
25595,pan_gene_8434,0.0012,0.0163,0.0024,0,0,0.0155,9e-04,0,0,0.019,0.0023,0.0151,0.0067,0.0015,0,0,0,0,0.0043,0,0,0.0024,0.288,0,0.015,0.0035
25598,pan_gene_8437,NA,NA,NA,0.0075,NA,NA,NA,0.0092,NA,0.1133,0.0087,NA,NA,NA,NA,NA,0.302,NA,0.2007,0.1349,0.1182,NA,0.1157,NA,0.3471,NA
25619,pan_gene_8461,0.1142,0.006,0.0131,0.0072,0.0087,0.0037,0.0066,0.0026,0.011,0.0137,0.0072,0.2744,0.0133,0.0099,0.002,0.0136,0.018,0.0018,0.0086,0.0041,0.0085,0.0016,0.0087,0.0545,0.0082,0.0061
25628,pan_gene_8469,0.0664,0.0023,0.0466,0.0763,0.0591,0.0403,0.0521,0.0252,0.0757,0.0837,0.1123,0.058,0.066,0.0075,NA,0.0555,0.0898,0.0524,0.0347,0.0683,0.0252,NA,0.055,0.0525,0.266,0.0987
25685,pan_gene_85133,NA,NA,NA,NA,NA,NA,0.5113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7273
